Customs Code,Weight,Temperature,Origin,Date,Bank,Payment Value,Currency,Cash,Prepaid,Shipping Line,Label
7,105.8957903,21.21415906,8,28/03/2016,2,512.658334,1,1,0,3,1
6,100.9532728,18.58472711,9,2/2/2016,3,489.7493289,1,1,1,2,1
2,99.183592,15.16172904,9,8/2/2016,1,430.2379523,1,1,1,1,1
2,107.581395,19.21073616,5,26/02/2016,4,503.5717299,2,1,1,1,1
7,104.0283718,15.24863959,7,29/12/2016,1,580.2090285,3,1,1,1,1
5,98.4786697,17.1460206,8,9/12/2016,1,480.8125958,3,1,0,1,1
1,343.2343,18.93868076,6,15/02/2016,5,534.457446,1,1,1,2,1
6,534.345,20.04965437,7,14/09/2016,2,374.4655801,1,1,1,3,1
2,92.16562763,17.61214993,2,30/12/2016,2,548.7041376,1,1,1,2,1
6,233.4343,15.21043925,9,7/12/2016,1,519.8582981,3,1,1,3,1
4,105.4194083,20.40119358,8,29/07/2016,1,461.8488807,3,1,0,3,1
2,94.27641656,18.43509801,8,21/04/2017,2,489.043241,1,1,1,3,1
7,105.079699,15.7764351,8,12/2/2015,2,443.5240678,2,1,1,3,1
6,434.324,14.15031514,10,10/1/2015,1,479.5968161,3,0,1,1,1
3,104.274527,17.37360908,9,26/03/2017,5,497.476559,3,1,0,3,1
3,103.7792887,18.05520041,6,12/4/2016,4,500.9037278,1,1,1,2,1
5,200.543,19.42007575,3,26/03/2017,5,518.0527176,3,1,0,1,1
2,100.7032678,20.35675061,5,11/5/2016,5,480.1636774,3,1,1,3,1
6,108.7559607,17.90326453,6,11/1/2016,3,513.5133425,3,0,1,3,1
2,434.543,20.99766958,7,11/4/2016,4,499.9404575,1,0,1,2,1
7,300.5435,17.25932707,1,24/08/2017,1,485.7986831,3,0,0,3,1
6,87.53141797,14.3295292,2,6/2/2016,3,506.3629281,3,0,1,3,1
5,99.58550252,20.57915966,10,30/06/2017,3,493.4292344,3,1,1,2,1
2,108.2655487,18.12153756,4,7/4/2016,1,501.3641344,1,1,1,3,1
5,114.3369589,17.16266554,4,8/8/2016,5,496.0232417,1,1,1,2,1
3,91.13816959,19.64892795,7,10/10/2016,3,507.0172115,3,0,0,3,1
3,114.4648183,17.75830894,2,4/1/2016,3,507.6704068,3,1,1,1,1
4,107.2891082,21.44807773,8,21/04/2017,1,493.7674411,1,1,1,2,1
6,107.1478082,17.41825667,7,7/2/2016,2,490.6853385,3,1,1,2,1
6,200.5435,17.07272771,3,28/08/2017,2,497.9962818,3,1,0,2,1
7,97.39451543,18.82454675,1,26/10/2017,2,494.3708137,1,1,1,3,1
3,108.8302245,15.55703043,9,1/6/2016,5,499.7699355,3,1,1,3,1
6,343.324,13.0024869,8,22/06/2017,3,490.5013503,3,1,0,3,1
3,432.32,15.58666735,6,26/09/2017,3,500.9154112,3,1,1,3,1
2,103.4508351,19.81512885,2,1/11/2016,3,496.353386,2,1,0,2,1
5,110.5178817,16.33875591,7,19/05/2017,4,496.721286,3,1,1,3,1
2,350.322,16.8987793,7,14/11/2017,5,495.3659105,3,0,1,1,1
4,270.432,20.87633113,6,8/7/2016,2,494.3511612,1,0,1,3,1
1,94.04737245,18.34351408,7,13/02/2017,4,485.6788237,1,1,0,1,1
5,700.3423,18.46155888,9,28/03/2017,3,498.1381426,3,1,0,1,1
3,106.9764619,17.7747884,9,2/2/2017,5,519.5402725,1,1,1,2,1
1,259.432,18.36640323,5,8/2/2017,5,495.560089,1,1,1,2,1
1,73.60085195,18.1143208,10,26/02/2017,5,517.245381,2,0,0,1,1
3,111.3307947,19.21296876,9,29/12/2017,5,483.2396946,1,1,1,1,1
5,104.5258476,18.84544097,6,9/13/2016,4,499.1490167,1,1,0,2,1
1,102.0734738,16.05716357,9,15/02/2017,2,502.1883158,1,0,0,1,1
4,105.1154589,17.59168634,7,14/09/2017,5,485.3791792,1,1,0,1,1
3,90.38140893,19.53087931,1,30/12/2017,1,524.3645037,1,0,0,1,1
6,98.86708554,18.72408587,3,7/13/2016,1,501.2299465,3,1,0,2,1
5,99.23106287,16.56778586,5,29/07/2017,4,497.5421649,3,1,0,2,1
3,800.4304,17.0093392,2,21/04/2018,1,503.163117,3,1,0,2,1
5,89.98166972,17.47448179,3,7/31/2015,5,505.1383322,3,0,1,2,1
7,108.9988933,18.34220954,5,5/30/2015,4,475.9713217,1,0,1,3,1
2,200.434,16.89097437,1,26/03/2018,5,478.7593859,1,1,1,3,1
2,107.1763459,16.89503561,4,12/5/2016,4,500.2871654,3,0,0,2,1
5,108.6317355,16.05389236,10,26/03/2018,4,499.0369702,2,1,1,2,1
3,99.9420473,19.40963175,7,11/5/2016,1,486.9920943,1,0,1,3,1
4,100.7921205,16.66144177,7,11/1/2016,3,501.5480169,3,1,1,1,1
7,343.503,16.68772128,2,11/4/2016,3,502.8280289,2,0,1,1,1
2,353.656654,16.25899375,7,24/08/2018,2,511.3888009,3,0,1,2,1
1,234.4344,18.68528043,4,6/3/2016,4,504.6889435,3,1,1,1,1
5,987.453,17.18257277,1,30/06/2018,1,481.2370242,3,1,0,3,1
5,300.434,16.32548175,2,7/4/2016,1,509.0182864,3,1,1,2,1
7,234.54,17.31976061,9,8/8/2016,2,523.8250497,2,1,1,2,1
2,235.654,17.81072715,6,10/10/2016,3,492.5543945,3,1,0,3,1
4,343.43,20.01127554,8,4/1/2016,2,513.5068556,2,1,0,3,1
2,343.653,18.25040594,10,21/04/2018,1,485.7237732,3,1,1,1,1
2,108.8616898,19.5516573,1,7/3/2016,4,490.3647189,3,0,0,3,1
2,344.543,17.51443689,1,28/08/2018,4,481.7589841,3,1,1,1,1
2,92.35442996,16.89809831,2,26/10/2018,2,498.526197,1,1,1,2,1
2,250.4344,13.909306,5,1/7/2016,4,517.5837605,2,1,1,2,1
2,105.827141,19.71834605,2,22/06/2018,4,500.8555036,1,1,0,3,1
1,104.5316841,17.11815101,3,26/09/2018,1,494.971137,2,1,1,2,1
4,119.3549573,18.34216623,10,1/12/2016,3,504.4812765,1,1,1,3,1
3,102.540124,18.14285462,6,19/05/2018,2,499.9338231,1,1,1,1,1
5,89.46857342,17.09792554,1,14/11/2018,5,500.3119632,3,0,1,1,1
1,109.4580813,20.89326873,2,8/8/2016,5,479.5361382,1,1,1,1,1
6,108.4941891,17.5397221,2,13/02/2018,3,508.8683655,3,1,0,1,1
1,104.1277646,18.62538087,3,28/03/2018,2,495.0699182,3,0,1,2,1
3,109.7503517,18.75956238,9,2/2/2018,3,513.0330783,3,1,0,1,1
3,99.7496269,18.44853224,10,8/2/2018,1,503.7107821,3,0,1,2,1
5,99.81079107,19.8154186,1,26/02/2018,3,500.5008451,1,1,0,2,1
2,100.8352996,21.43252237,8,29/12/2018,3,495.0347707,3,1,0,3,1
7,85.5045014,18.2453837,6,9/14/2016,5,497.1448061,1,1,1,1,1
1,114.8693141,18.49951815,10,15/02/2018,2,490.4719917,3,1,1,3,1
1,90.46402706,20.49560653,7,14/09/2018,5,488.5281749,3,1,1,2,1
6,107.5534434,16.93181439,9,30/12/2018,1,498.5056505,1,1,0,3,1
4,94.38720643,25.7173379,6,7/14/2016,3,500.1059666,1,1,0,3,1
5,86.83840596,15.238564,7,29/07/2018,3,482.1953231,3,1,0,1,1
5,113.7227286,18.33956134,7,21/04/2019,1,517.374329,1,1,1,1,1
4,105.8411951,18.30834141,10,3/29/2015,5,493.9263958,2,0,1,1,1
5,434.543,14.60579935,4,1/26/2015,1,498.5851867,1,1,1,2,1
4,95.95466521,16.7516999,5,26/03/2019,2,511.3592767,1,1,1,1,1
3,345.5435,19.32938319,4,12/6/2016,4,492.9666249,2,1,1,3,1
5,102.2743248,17.50000246,2,26/03/2019,3,497.8498795,1,0,1,1,1
2,543.435,17.16607374,2,11/5/2016,5,492.1772072,1,0,0,3,1
7,97.00635984,17.97623061,3,11/1/2016,4,490.0330804,1,0,1,2,1
5,98.77560634,17.36546649,1,11/4/2016,4,492.9414691,1,0,0,3,1
7,343.543,19.76018857,2,24/08/2019,4,483.318638,1,1,0,3,1
5,645.45353,20.03782735,1,6/4/2016,1,481.4718265,1,0,0,3,1
1,654.6545,18.31994986,2,30/06/2019,2,493.1001917,1,0,0,1,1
5,543.54353,20.54045454,9,7/4/2016,3,503.5311478,1,0,0,2,1
1,333.33333,16.79789951,3,8/8/2016,5,483.5658049,1,0,1,1,1
1,432.4367,16.33644108,4,10/10/2016,2,516.4150035,3,0,0,2,1
4,93.28086968,19.76002449,10,4/1/2016,5,494.647112,3,1,1,1,1
7,102.3903395,18.70321922,7,21/04/2019,2,494.9372895,1,1,1,2,1
2,900.4343,21.27953413,5,7/4/2016,5,500.3799878,1,1,0,3,1
3,800.3443,16.54781339,7,28/08/2019,3,489.407508,1,1,1,1,1
6,232.4334,18.05037134,1,26/10/2019,4,487.9281557,3,1,1,3,1
7,105.3695305,18.41691866,7,1/8/2016,3,515.9202515,1,0,1,3,1
7,204.5435,17.42512075,9,22/06/2019,3,503.7168646,2,1,1,1,1
1,200.43,15.77870744,3,26/09/2019,1,495.9813926,1,1,0,1,1
1,108.8850805,14.56282197,7,1/13/2016,1,514.7100098,2,1,0,3,1
7,4555.543,15.25598127,7,19/05/2019,5,494.0097865,1,1,1,1,1
4,823.6374,16.83440512,7,14/11/2019,4,494.6423551,1,1,0,3,0
7,88.71159981,19.71487095,7,8/9/2016,1,493.7769649,2,1,0,2,0
4,98.16232845,17.25652053,10,13/02/2019,5,501.9225631,3,0,0,3,0
2,93.67045573,21.67223725,6,28/03/2019,2,506.6751482,1,0,0,3,0
7,102.7644085,19.38140425,2,2/2/2019,4,504.7868722,3,0,1,1,0
4,84.54773568,20.15497656,9,8/2/2019,5,489.3886683,2,1,0,1,0
4,98.23195759,16.32468704,10,26/02/2019,2,504.3382441,2,1,0,2,0
4,100.3239225,18.19043925,10,29/12/2019,3,516.914585,2,0,1,1,0
6,104.498193,19.0153441,6,9/15/2016,3,476.2188042,1,1,0,3,0
7,93.0532967,19.54417406,1,15/02/2019,4,503.4896883,2,0,0,1,0
6,104.2198571,18.89234634,5,14/09/2019,4,504.4960006,2,0,0,1,0
3,112.6282573,14.04623527,7,30/12/2019,3,491.3967964,3,0,0,2,0
2,120.7995998,18.47139643,5,7/15/2016,1,478.171919,1,0,1,3,0
7,108.9641975,19.27171088,7,29/07/2019,4,506.035543,1,0,0,2,0
5,91.00718308,18.04996174,10,21/04/2020,2,480.7355052,1,0,1,3,0
7,102.8949995,20.61493869,8,11/25/2014,4,512.923467,2,0,0,3,0
5,84.8483378,17.7783863,10,9/24/2014,2,506.5408176,2,0,0,2,0
4,93.87463993,18.37158931,1,26/03/2020,1,497.8823665,1,1,1,3,0
7,97.79101715,19.07532595,6,12/7/2016,3,503.9608588,2,0,1,3,0
7,97.96343327,18.8268263,7,26/03/2020,1,511.4275429,1,0,1,2,0
4,95.48824288,16.47230826,2,11/5/2016,1,526.6927643,2,0,1,3,0
4,93.6059324,17.70177869,2,11/1/2016,1,494.4078412,1,0,0,1,0
5,96.95048352,20.34268517,2,11/4/2016,1,501.4052734,2,1,1,3,0
4,94.83509602,17.66097127,8,24/08/2020,4,500.1415541,1,0,0,1,0
3,109.0772243,16.5449058,6,6/5/2016,1,493.5945321,1,0,0,3,0
3,89.6222843,18.52057734,1,30/06/2020,5,494.0114012,2,0,1,1,0
5,89.49668997,21.47415064,3,7/4/2016,1,495.7936766,3,1,1,3,0
4,89.29643281,15.32972347,4,8/8/2016,1,499.5391226,1,0,0,2,0
6,91.58493966,16.51345866,5,10/10/2016,5,488.365438,2,1,0,3,0
2,85.45481102,20.51982789,2,4/1/2016,5,491.3324573,1,1,0,1,0
7,113.7555097,18.63144637,2,21/04/2020,2,508.8151117,1,0,0,1,0
7,107.0417984,16.39619484,10,7/5/2016,3,502.8582316,2,1,0,1,0
2,105.8650718,17.39737662,3,28/08/2020,4,497.7873396,3,1,1,1,0
2,87.41374071,17.23739638,9,26/10/2020,3,511.6543239,1,0,0,1,0
7,93.92511135,14.71628448,3,1/9/2016,4,485.5045132,3,0,0,2,0
1,94.88428188,17.82815361,3,22/06/2020,5,507.7471439,3,1,1,1,0
1,99.90977155,20.24016795,8,26/09/2020,1,502.9180495,2,1,0,1,0
4,100.0096136,17.86984673,10,1/14/2016,2,521.9349833,3,0,0,2,0
3,77.89784197,17.66472899,4,19/05/2020,4,504.6452103,1,0,1,1,0
6,97.78059526,20.81896959,10,14/11/2020,2,491.0278439,2,0,1,2,0
7,89.12638901,17.86848259,10,8/10/2016,4,494.2838527,1,0,0,1,0
4,112.6434139,18.96715206,9,13/02/2020,1,508.1293512,3,0,0,3,0
7,110.8714633,19.66771631,10,28/03/2020,1,508.589003,3,0,1,3,0
4,96.21251052,19.32274166,9,2/2/2020,5,495.7162312,2,1,0,1,0
6,96.59838218,19.2137241,10,8/2/2020,1,499.7795395,2,0,0,3,0
4,102.2668775,17.62757027,8,26/02/2020,5,501.4578782,3,1,0,2,0
5,111.5054315,18.46511022,5,29/12/2020,1,501.1491462,3,0,1,1,0
4,109.6688693,19.9379709,1,9/16/2016,1,499.8611465,2,0,1,2,0
1,82.86892291,15.24858761,2,15/02/2020,4,501.5356528,3,0,0,1,0
1,100.8709181,17.57131712,1,14/09/2020,1,494.5386714,3,0,0,1,0
5,110.1668521,18.34331145,7,30/12/2020,5,505.7664193,1,0,1,1,0
6,99.13546072,19.89922628,3,7/16/2016,2,500.7807693,1,0,0,2,0
1,89.42219245,18.65374735,8,29/07/2020,4,502.6590627,1,1,1,3,0
6,108.2197255,18.37313064,10,21/04/2021,1,520.1123965,2,0,1,1,0
3,95.21620946,17.73686737,10,7/24/2014,1,508.9625783,2,1,0,3,0
7,81.57468294,15.00442901,4,5/23/2014,1,496.1930325,3,0,0,3,0
1,100.1522257,19.83989591,7,26/03/2021,5,503.0356982,1,0,1,1,0
5,104.8034555,15.52347187,5,12/8/2016,3,502.262281,2,0,0,1,0
7,87.8180344,20.26119604,10,26/03/2021,4,463.2734538,2,1,0,2,0
2,98.86113019,20.88592976,4,11/5/2016,4,497.3476768,3,1,0,3,0
2,108.7362232,19.56694616,2,11/1/2016,5,489.9362451,1,0,1,3,0
1,118.5214665,16.63613322,4,11/4/2016,4,499.5171749,2,1,1,3,0
2,104.1479029,15.77284804,8,24/08/2021,1,493.9312514,2,1,0,2,0
7,110.1769179,15.21551896,6,6/6/2016,2,511.2248251,3,0,0,2,0
3,77.80312864,18.5431038,9,30/06/2021,5,509.7051379,3,0,0,1,0
5,86.99730156,15.95197814,10,7/4/2016,2,517.2465962,3,1,1,2,0
1,82.43957464,16.33927126,3,8/8/2016,4,491.2206713,3,1,0,3,0
5,106.9489485,16.20831999,1,10/10/2016,2,504.6705934,2,1,1,3,0
7,107.9596082,16.37541499,6,4/1/2016,5,490.9529576,2,1,1,2,0
7,97.74446098,17.86923773,4,21/04/2021,5,488.1622431,1,1,0,2,0
5,120.6990138,18.16525893,10,7/6/2016,2,508.3183863,1,0,1,2,0
3,105.2440482,17.67231476,9,28/08/2021,2,493.5964177,3,0,0,3,0
4,91.41156686,16.40469792,10,26/10/2021,4,502.9381847,3,0,0,2,0
5,99.54959108,15.11487371,1,1/10/2016,5,494.1586558,3,1,1,1,0
2,101.7770307,15.87805713,2,22/06/2021,3,503.2257247,2,0,0,3,0
3,115.5327602,18.36359779,7,26/09/2021,4,506.585744,2,0,0,3,0
1,100.3874477,17.36394978,1,1/15/2016,4,500.1988575,1,1,1,3,0
4,95.29398582,17.57114146,8,19/05/2021,5,501.7202457,1,0,1,1,0
6,101.9675198,18.03707157,8,14/11/2021,5,514.5052363,1,1,1,2,0
6,103.8319584,19.53997597,7,8/11/2016,5,490.7351033,3,0,0,2,0
5,108.0106218,14.45716499,1,13/02/2021,1,504.2556794,1,1,1,3,0
4,98.67626476,15.38156362,1,28/03/2021,2,499.9390605,3,0,0,2,0
7,88.67828139,19.05333637,3,2/2/2021,2,499.8929628,1,1,0,3,0
7,88.51805512,22.76199629,5,8/2/2021,5,505.9482748,3,0,0,1,0
4,104.2333378,15.65962391,6,26/02/2021,3,504.6832436,3,0,1,2,0
4,98.76991579,14.84258589,1,29/12/2021,2,502.6674912,1,0,0,2,0
5,97.904497,17.27432349,2,9/17/2016,1,507.0299475,3,1,1,2,0
4,95.3609032,15.60886761,7,15/02/2021,5,485.4518231,1,0,1,2,0
3,91.51392353,15.89872965,4,14/09/2021,1,516.7953952,1,1,0,1,0
4,114.5220184,21.27344016,5,30/12/2021,3,499.4216114,3,1,0,3,0
1,105.5217901,20.56907357,8,7/17/2016,3,519.657009,2,0,1,3,0
2,106.861413,18.85025132,1,29/07/2021,1,499.3040045,2,0,0,2,0
3,103.9105424,19.71431652,8,21/04/2022,2,496.7430085,3,1,0,3,0
4,85.31577032,15.91485016,2,3/22/2014,5,506.1216338,2,1,0,2,0
2,97.89683644,18.255759,3,1/19/2014,2,505.6137581,1,1,1,2,0
6,104.5648385,16.91607537,7,26/03/2022,4,487.9203503,3,1,1,3,0
3,97.64981603,18.22515349,8,12/9/2016,2,514.449017,3,0,0,2,0
5,99.43238235,21.21273533,8,26/03/2022,4,507.6683366,2,1,1,1,0
7,111.9457543,18.70640357,2,11/5/2016,1,519.8589086,3,0,1,1,0
3,87.9370414,19.38940674,4,11/1/2016,5,508.4698718,2,0,1,3,0
7,88.24983339,19.12611152,8,11/4/2016,4,506.9862526,3,0,0,1,0
5,113.2871514,17.43274991,9,24/08/2022,1,498.9959707,3,0,0,2,0
4,93.51881746,18.94954864,1,6/7/2016,1,503.2777482,1,1,1,1,0
1,101.6000567,19.42556782,1,30/06/2022,3,487.9510349,1,1,1,2,0
7,95.00083975,19.14182875,3,7/4/2016,1,498.0553477,2,0,0,1,0
1,94.51725209,16.85680283,1,8/8/2016,4,509.9934646,2,1,1,2,0
7,93.00442697,19.47074525,2,10/10/2016,1,521.3403933,1,0,0,2,0
7,81.02782741,16.64970023,2,4/1/2016,5,500.0049996,1,1,1,2,0
1,104.7839692,19.17934727,6,21/04/2022,3,496.3790022,1,1,1,1,0
6,111.0778343,20.20534985,3,7/7/2016,4,507.7633728,3,1,1,1,0
7,91.38508253,19.06703747,6,28/08/2022,5,505.8360694,2,0,0,1,0
6,107.6242411,18.34933775,3,26/10/2022,2,478.1212242,1,0,0,2,0
5,95.32866374,17.50547261,4,1/11/2016,4,509.5669223,1,0,1,2,0
5,110.1845121,18.57639902,8,22/06/2022,4,485.6784382,3,1,0,3,0
1,98.40823198,17.77276977,10,26/09/2022,1,499.7907019,3,1,0,2,0
7,125.0935219,15.08809667,8,1/16/2016,2,503.5420187,2,1,1,1,0
3,99.20646742,16.31189392,4,19/05/2022,2,511.1855858,2,0,0,1,0
3,97.45989812,19.31388405,8,14/11/2022,3,493.4734366,2,1,0,3,0
5,95.08615865,17.41335406,5,8/12/2016,2,511.4723446,3,1,0,2,0
6,88.63325783,18.5922282,10,13/02/2022,1,497.1724269,1,0,1,1,0
4,106.9047091,18.70156844,9,28/03/2022,5,516.3598298,3,1,0,3,0
1,110.3353883,20.08153859,4,2/2/2022,1,496.6449426,2,1,1,3,0
4,107.5980423,19.39742658,6,8/2/2022,3,501.0368707,1,0,0,1,0
4,106.4967633,17.86761565,9,26/02/2022,3,504.0685873,3,0,0,1,0
1,116.5391811,16.03758361,1,29/12/2022,5,498.5852291,1,1,0,3,0
5,98.30152142,16.3809051,7,9/18/2016,4,494.7531936,1,0,0,2,0
1,113.1595047,14.51068125,8,15/02/2022,5,508.2550711,2,0,1,1,0
5,73.61778942,15.97995857,7,14/09/2022,4,499.7918468,1,1,0,3,0
1,98.82015826,14.13569523,6,30/12/2022,3,486.3019851,1,0,0,2,0
3,117.0281429,16.60086146,7,7/18/2016,4,499.8192699,1,1,0,1,0
6,103.1645006,17.92471756,6,29/07/2022,5,510.422697,1,0,1,1,0
6,98.62652741,18.75792429,2,21/04/2023,5,506.6742854,3,0,0,1,0
4,81.08683045,18.99748266,5,11/18/2013,2,519.1892571,3,1,1,2,0
2,104.6041537,18.7493826,2,9/17/2013,5,487.331151,2,0,1,3,0
5,95.72361014,17.97912023,10,26/03/2023,2,500.017861,3,1,1,2,0
2,84.64446768,18.2264629,8,12/10/2016,3,495.8315712,3,1,0,1,0
1,91.28659367,16.85097894,10,26/03/2023,2,511.2158356,1,1,0,3,0
4,92.80875257,18.90657475,2,11/5/2016,5,515.0847768,1,0,0,2,0
5,88.41212778,16.86003313,1,11/1/2016,2,483.4805068,1,1,1,1,0
4,109.7865907,18.571788,5,11/4/2016,2,473.7779658,1,1,1,2,0
5,100.4480774,18.37770629,4,24/08/2023,1,508.8501699,2,1,1,2,0
2,121.0405688,15.26108743,1,6/8/2016,4,506.0948132,1,1,0,1,0
6,101.1490621,16.98994918,9,30/06/2023,3,504.1621362,3,0,0,3,0
